"","ID","p.adjust","qvalue","count"
"GO:0044087","GO:0044087",0.0172057500339963,1.85387779876511,27
"GO:0048878","GO:0048878",0.0182407719499594,1.82850819418804,35
"GO:1902903","GO:1902903",0.0188103340120926,1.815154900607,18
"GO:0032886","GO:0032886",0.0193257236517559,1.80341564287104,13
"GO:1990573","GO:1990573",0.0200599946563099,1.78722059492881,9
"GO:0031102","GO:0031102",0.0203372600712791,1.78125896553528,7
"GO:0006376","GO:0006376",0.0221448089547589,1.74427946998378,5
"GO:0031644","GO:0031644",0.0221448089547589,1.74427946998378,5
"GO:0072666","GO:0072666",0.0233550601239863,1.72117041827436,7
"GO:0048589","GO:0048589",0.0234033081043407,1.7202741577819,32
"GO:0046839","GO:0046839",0.024854438041023,1.69414745973804,8
"GO:2000026","GO:2000026",0.0260478168953608,1.67378007760191,36
"GO:0099518","GO:0099518",0.0263555216736856,1.66867979098624,6
"GO:0016339","GO:0016339",0.0269332116462086,1.65926326405297,5
"GO:0031109","GO:0031109",0.0271398805615493,1.65594347585897,9
"GO:0042063","GO:0042063",0.0273031069251588,1.65333933803744,18
"GO:0001678","GO:0001678",0.0273031069251588,1.65333933803744,4
"GO:0048268","GO:0048268",0.0273031069251588,1.65333933803744,4
"GO:0048670","GO:0048670",0.0273031069251588,1.65333933803744,4
"GO:0040012","GO:0040012",0.0277148954474673,1.64683816333793,27
"GO:0040008","GO:0040008",0.0316235902625887,1.58954023357599,13
"GO:0032011","GO:0032011",0.0319433197237,1.58517135952852,5
"GO:0032012","GO:0032012",0.0319433197237,1.58517135952852,5
"GO:0086001","GO:0086001",0.0319433197237,1.58517135952852,5
"GO:0001764","GO:0001764",0.033960120433733,1.55858218619809,8
"GO:1901137","GO:1901137",0.0341028988287588,1.55676011128216,36
"GO:0008045","GO:0008045",0.0377771084352876,1.51232269517036,8
"GO:0047496","GO:0047496",0.0382046482567747,1.50743520235585,5
"GO:0021675","GO:0021675",0.0389810684069961,1.49869766968105,10
"GO:0034332","GO:0034332",0.0400592581385485,1.4868485056349,6
"GO:0007188","GO:0007188",0.0424757687957581,1.46141015974125,21
"GO:1902904","GO:1902904",0.0427686381053343,1.45842598681692,9
"GO:0010638","GO:0010638",0.0434111085601467,1.45195053165847,13
"GO:0099111","GO:0099111",0.0434111085601467,1.45195053165847,13
"GO:0048668","GO:0048668",0.0434111085601467,1.45195053165847,4
"GO:0010001","GO:0010001",0.0434111085601467,1.45195053165847,16
"GO:0051240","GO:0051240",0.0440895780283715,1.44521546561401,25
"GO:0006493","GO:0006493",0.0461677975968444,1.42521225059895,9
